Profiel;Volgnr;Vraag;Optie A;Optie B;Optie C;Optie D;Juist antwoord;Juiste tekst
Werktuigbouw - Monteur;33;Wat is een geleidingsbeugel/-clip voor leidingen?;Bevestiging die thermische beweging toelaat;Filter;Afsluiter;Pomp;A;Bevestiging die thermische beweging toelaat
Werktuigbouw - Monteur;34;Hoe bevestig je leiding aan houten ondergrond op dit project?;Spijkeren;Lijmen;Met geschikte schroef-/clipsysteem (geen lasconstructies);Lassen;C;Met geschikte schroef-/clipsysteem (geen lasconstructies)
Werktuigbouw - Monteur;35;Welke watertemperatuur is gangbaar voor klimaatplafond koelen?;6 °C aanvoer;45 °C aanvoer;Aanvoer 14-16 °C, retour 16-18 °C, boven dauwpunt;30 °C aanvoer;C;Aanvoer 14-16 °C, retour 16-18 °C, boven dauwpunt
Werktuigbouw - Monteur;36;Wat is dauwpuntregeling?;Een veiligheidsventiel;Een akoestische afdichting;Voorkomen dat watertemperatuur onder dauwpunt komt om condens te voorkomen;Een filter;C;Voorkomen dat watertemperatuur onder dauwpunt komt om condens te voorkomen
Werktuigbouw - Monteur;37;Wat is een drukvat (CV)?;Synoniem voor expansievat met membraan;Een tank voor warm water;Een afsluiter;Een opslagtank;A;Synoniem voor expansievat met membraan
Werktuigbouw - Monteur;38;Welk meetinstrument meet luchtdebiet?;Voltmeter;Multimeter;Thermohygrometer;Hittedraad-/vleugelrad anemometer of debietmeetkruis;D;Hittedraad-/vleugelrad anemometer of debietmeetkruis
Werktuigbouw - Monteur;39;Welke warmtemeter gebruik je voor afrekenmeting?;Voltmeter;MID-gecertificeerde warmtemeter (debiet + ΔT);Drukmeter;Watermeter;B;MID-gecertificeerde warmtemeter (debiet + ΔT)
Werktuigbouw - Monteur;40;Wat is een 'low-loss header' / open verdeler?;Filter;Brandklep;Hydraulische ontkoppeling tussen primair en secundair circuit;Sensor;C;Hydraulische ontkoppeling tussen primair en secundair circuit
Werktuigbouw - Monteur;41;Wat is BIM en hoe gebruik je het?;Excel;Een schroef;Building Information Modeling — 3D-model + data, voor coördinatie en uitvoering;Een meetapparaat;C;Building Information Modeling — 3D-model + data, voor coördinatie en uitvoering
Werktuigbouw - Monteur;42;Welke geluidseisen gelden in monumentale ruimten op dit project?;Geen eisen;"Strenge eisen — installaties zo stil mogelijk; isolatie en demping";Alleen 's nachts;Hoogste lawaai toegestaan;B;"Strenge eisen — installaties zo stil mogelijk; isolatie en demping"
Werktuigbouw - Monteur;43;Wat is een zelfregelende thermostaatkraan?;Pomp;Filter;Radiatorkraan die ruimtetemperatuur per ruimte regelt;Sensor;C;Radiatorkraan die ruimtetemperatuur per ruimte regelt
Werktuigbouw - Monteur;44;Welke procedure volg je bij een lekkage in monumentale ruimte?;Direct afsluiten, opvang voorzien, monumentenzorg/uitvoerder informeren;Hopen op droging;Negeren;Doorwerken;A;Direct afsluiten, opvang voorzien, monumentenzorg/uitvoerder informeren
Werktuigbouw - Monteur;45;Wat is een afblaasleiding op een veiligheidsventiel?;Een filterleiding;Geleide afvoer van water bij afblazen, naar zichtbare punt;Een retourleiding;Een ventilatie;B;Geleide afvoer van water bij afblazen, naar zichtbare punt
Werktuigbouw - Monteur;46;Wat is een persdruk-test bij gas?;Met water;Met perslucht;Doe je zelf;Mag NIET door W-monteur zonder erkenning — alleen erkend installateur;D;Mag NIET door W-monteur zonder erkenning — alleen erkend installateur
Werktuigbouw - Monteur;47;Welke afsluiter scheidt twee gebouwgedeelten in renovatie?;Brandklep;Geen;Filter;Sectie-afsluiters in centraal verdeelpunt;D;Sectie-afsluiters in centraal verdeelpunt
Werktuigbouw - Monteur;48;Wat is een vorstbeveiliging?;Filter;Pomp;Regeling die installatie beschermt tegen bevriezing;Een afsluiter;C;Regeling die installatie beschermt tegen bevriezing
Werktuigbouw - Monteur;49;Welke documentatie hoort bij oplevering W?;Niet vereist;Foto's via WhatsApp;O&M-handboek, asbuilt, drukrapport, inregelrapport, certificaten;Alleen factuur;C;O&M-handboek, asbuilt, drukrapport, inregelrapport, certificaten
Werktuigbouw - Monteur;50;Hoe stem je af met de E-monteur over een klimaatplafond?;Niet;Pas bij oplevering;Eigen plan;Sensor- en aansluitingen W coördineren met regeltechniek E (KNX/MOD-bus);D;Sensor- en aansluitingen W coördineren met regeltechniek E (KNX/MOD-bus)
Werktuigbouw - Chef-monteur;1;Wat is jouw rol bij inbedrijfstelling klimaatplafond?;Alleen kijken;Coördinatie spoeling, drukproef, inregeling, MR-test, oplevering;Geen rol;Eigen werk;B;Coördinatie spoeling, drukproef, inregeling, MR-test, oplevering
Werktuigbouw - Chef-monteur;2;Welke ISSO-richtlijn voor inregelen hydraulisch evenwicht ken je?;ISSO 50/57 (CV/koel) en publicaties hydraulisch inregelen;NEN 1010;NEN 3140;ISO 27001;A;ISSO 50/57 (CV/koel) en publicaties hydraulisch inregelen
Werktuigbouw - Chef-monteur;3;Welke verantwoordelijkheid heb je voor F-gassen op je ploeg?;"Toezien op gecertificeerd personeel; logboek bijhouden";Geen;Geen logboek nodig;Alleen administratie;A;"Toezien op gecertificeerd personeel; logboek bijhouden"
Werktuigbouw - Chef-monteur;4;Welk planningsdocument coördineer je dagelijks?;Niets;Werkpakketten per ruimte, materiaalstroom, raakvlakken E/W/B;Alleen weekplanning;Alleen einddatum;B;Werkpakketten per ruimte, materiaalstroom, raakvlakken E/W/B
Werktuigbouw - Chef-monteur;5;Welke risico's check je vooraf in monumentale ruimten?;Geen;Alleen kosten;Alleen tijd;Brandrisico, schade gevoelig materiaal, stof, monumentenzorg-eisen;D;Brandrisico, schade gevoelig materiaal, stof, monumentenzorg-eisen
Werktuigbouw - Chef-monteur;6;Wat is een coördinatietekening?;Een schets;Tekening die E, W, B in één laagsysteem afstemt — voorkomt kruisingen;Tekstverklaring;Een factuur;B;Tekening die E, W, B in één laagsysteem afstemt — voorkomt kruisingen
Werktuigbouw - Chef-monteur;7;Welke data borg je voor as-built?;Alleen oude tekening;Alleen einde;Wijzigingen tijdens uitvoering tijdig in BIM/AutoCAD verwerken;Niets;C;Wijzigingen tijdens uitvoering tijdig in BIM/AutoCAD verwerken
Werktuigbouw - Chef-monteur;8;Wat doe je als drukproef faalt?;Doorgaan;Druk verlagen;Negeren;Stoppen, lokaliseren, herstellen volgens procedure, hertesten + rapporteren;D;Stoppen, lokaliseren, herstellen volgens procedure, hertesten + rapporteren
Werktuigbouw - Chef-monteur;9;Welke kwaliteitsborging op klimaatplafond pas je toe?;Spoelprotocol, druktest, debietmeting, oplevercertificaat per zone;Geen;Visueel alleen;Steekproef per maand;A;Spoelprotocol, druktest, debietmeting, oplevercertificaat per zone
Werktuigbouw - Chef-monteur;10;Welke MR-eisen ken je (Meet- & Regeltechniek)?;Geen;Alleen alarm;"Aanvoer-, retour-, ruimtevoelers; klepposities; alarmen; logging";Alleen aanvoer;C;"Aanvoer-, retour-, ruimtevoelers; klepposities; alarmen; logging"
Werktuigbouw - Chef-monteur;11;Wat is een functietest?;Test waarbij regelingen, beveiligingen, alarmen op werking worden gevalideerd;Spoeling;Visueel;Druktest;A;Test waarbij regelingen, beveiligingen, alarmen op werking worden gevalideerd
Werktuigbouw - Chef-monteur;12;Welke Eurovent-/SCOP-/EER-cijfers gebruik je voor koeling?;Niet relevant;Tarief;Energie-efficiency koel/verwarm onder genormeerde condities;Brandklasse;C;Energie-efficiency koel/verwarm onder genormeerde condities
Werktuigbouw - Chef-monteur;13;Welke wettelijke eisen gelden voor stookinstallaties?;Geen;SCIOS Scope 1/2/4 keuringen + Activiteitenbesluit;ISO 9001 alleen;Alleen NEN 1010;B;SCIOS Scope 1/2/4 keuringen + Activiteitenbesluit
Werktuigbouw - Chef-monteur;14;Welk lucht-/water debiet bewaak je tijdens commissioning?;Geen;Alleen totaal;Per zone gemeten en vergeleken met ontwerpwaarde, afwijking <±10%;Alleen op piek;C;Per zone gemeten en vergeleken met ontwerpwaarde, afwijking <±10%
Werktuigbouw - Chef-monteur;15;Wat is een tekortkomingenlijst (snagging)?;Een schroefset;Lijst openstaande punten ná oplevering te herstellen;Een softwarepakket;Een loonstrook;B;Lijst openstaande punten ná oplevering te herstellen
Werktuigbouw - Chef-monteur;16;Wat is een bouwlogistiekplan?;Een softwareplan;Pauzeplan;Brandwachtplan;Plan voor materiaalaanvoer, opslag, afvoer in en rondom de bouwplaats;D;Plan voor materiaalaanvoer, opslag, afvoer in en rondom de bouwplaats
Werktuigbouw - Chef-monteur;17;Welke informatie deel je elke ochtend met je ploeg?;Doelen vandaag, veiligheid, samenwerking E/W, materiaalpunten;Niets;Alleen plek;Alleen tijden;A;Doelen vandaag, veiligheid, samenwerking E/W, materiaalpunten
Werktuigbouw - Chef-monteur;18;Welke verantwoordelijkheid heb je bij hot-work in een gebouw met lasverbod?;Alleen 's nachts;Soms toestaan;"Geen open vlam toestaan; alternatieven (pers/koppelingen) borgen";Bij regen ja;C;"Geen open vlam toestaan; alternatieven (pers/koppelingen) borgen"
Werktuigbouw - Chef-monteur;19;Hoe stem je af met de hoofdaannemer (CWD)?;Wekelijkse coördinatie, dagelijks korte updates, structuur in afwijkingen;Niet;Random;Maandelijks;A;Wekelijkse coördinatie, dagelijks korte updates, structuur in afwijkingen
Werktuigbouw - Chef-monteur;20;Welke eisen aan opleidingen monteurs op dit Den Haag-project?;"VCA, vakdiploma, F-gassen indien koudemiddel; periodieke bijscholing";Geen;Alleen taal;Alleen rijbewijs;A;"VCA, vakdiploma, F-gassen indien koudemiddel; periodieke bijscholing"
Werktuigbouw - Chef-monteur;21;Wat is een proefbedrijf (commissioning)?;Een offerte;Een hoekijzer;Periode waarin installatie onder gebruik condities wordt getest;Een meetinstrument;C;Periode waarin installatie onder gebruik condities wordt getest
Werktuigbouw - Chef-monteur;22;Wat doe je bij asbestverdacht materiaal?;Direct stoppen, ploeg veiligstellen, gespecialiseerd bedrijf laten saneren;Voorzichtig doorgaan;Maskertje opzetten;Aanstampen;A;Direct stoppen, ploeg veiligstellen, gespecialiseerd bedrijf laten saneren
Werktuigbouw - Chef-monteur;23;Welke stappen volg je bij contamination-risico in waterleiding?;Niets;Cola erdoor;Spoelprotocol per ISSO 55-1, microbiologische monsters indien vereist;Alleen visueel;C;Spoelprotocol per ISSO 55-1, microbiologische monsters indien vereist
Werktuigbouw - Chef-monteur;24;Welke metingen rapporteer je bij hydraulisch inregelen?;Alleen temperatuur;Debiet, drukverlies per zone, autoriteit, instelwaarden — gedocumenteerd;Alleen pomp;Geen;B;Debiet, drukverlies per zone, autoriteit, instelwaarden — gedocumenteerd
Werktuigbouw - Chef-monteur;25;Wat is een autoriteit van een regelafsluiter?;Een rang;Verhouding kleerkverlies tot totaal kringverlies (richtlijn ≥ 0,3);Geen begrip;Een drukklasse;B;Verhouding kleerkverlies tot totaal kringverlies (richtlijn ≥ 0,3)
Werktuigbouw - Chef-monteur;26;Hoe bewaak je voortgang met meerdere ploegen op 7 gebouwen?;Faseplanning, mijlpalen, wekelijkse review, dashboards en LMRA's;Spreadsheet zonder review;Op gevoel;Niets;A;Faseplanning, mijlpalen, wekelijkse review, dashboards en LMRA's
Werktuigbouw - Chef-monteur;27;Welke documentatie eis je bij prefab-leverancier?;Foto via mail;Niets;Tekeningen, materiaalcertificaten, drukproefcertificaten, identificatie;Alleen factuur;C;Tekeningen, materiaalcertificaten, drukproefcertificaten, identificatie
Werktuigbouw - Chef-monteur;28;Wat is een vergrendel-/markeerprocedure (LOTO) bij W-werk?;Alleen E-elektra;Niet nodig;Pomp/ketel uit, afsluiters dicht en gelabeld, energiebronnen geborgd;Alleen bij gas;C;Pomp/ketel uit, afsluiters dicht en gelabeld, energiebronnen geborgd
Werktuigbouw - Chef-monteur;29;Wat is je rol bij een veiligheidsincident in jouw ploeg?;Eerste hulp, situatie veilig stellen, melden, oorzaak en preventie;Achteraf bedenken;Toedekken;Alleen gevallen melden;A;Eerste hulp, situatie veilig stellen, melden, oorzaak en preventie
Werktuigbouw - Chef-monteur;30;Welke kennis verwacht je van een W-monteur over geluidsoverdracht?;Geen;Pomp/leidingvibratie isoleren, demper, juiste bevestiging;Alleen technisch interessant;Alleen visueel;B;Pomp/leidingvibratie isoleren, demper, juiste bevestiging
Werktuigbouw - Chef-monteur;31;Wat is je strategie als ontwerp en uitvoerbaarheid afwijken?;Issue loggen, voorstel maken, met engineer/uitvoerder afstemmen, RFI sturen;Negeren;Alleen melden achteraf;Zelf veranderen;A;Issue loggen, voorstel maken, met engineer/uitvoerder afstemmen, RFI sturen
Werktuigbouw - Chef-monteur;32;Wat is een RFI?;Request For Information — formele vraag aan ontwerpteam;Een meting;Een ventiel;Een type kraan;A;Request For Information — formele vraag aan ontwerpteam
Werktuigbouw - Chef-monteur;33;Hoe stem je raakvlak elektra-W op klimaatplafond af?;Pas op de dag;Alleen visueel;Niet;Sensoren, kleppen, regelaars en bekabeling integraal plannen met E-chef;D;Sensoren, kleppen, regelaars en bekabeling integraal plannen met E-chef
Werktuigbouw - Chef-monteur;34;Wat zijn voor jou kritieke inbedrijfstellingstesten?;Drukproef, spoeling, debiet, temperatuur, regeling, alarmen;Geen;Alleen drukproef;Alleen temperatuur;A;Drukproef, spoeling, debiet, temperatuur, regeling, alarmen
Werktuigbouw - Chef-monteur;35;Welke milieueisen gelden bij koudemiddel-werk?;Alleen kosten;Alleen tijd;Geen;GWP-bewust werken, lekdetectie, juiste recovery, registratie F-gassen;D;GWP-bewust werken, lekdetectie, juiste recovery, registratie F-gassen
Werktuigbouw - Chef-monteur;36;Welke informatie staat in een testcertificaat?;Niets;Beproevingsmedium, druk, duur, resultaat, datum, paraaf;Alleen prijs;Alleen tekst;B;Beproevingsmedium, druk, duur, resultaat, datum, paraaf
Werktuigbouw - Chef-monteur;37;Wat is een sequentieregeling op klimaatplafonds?;Cascade-/sequence-regeling tussen verwarmen, neutrale band en koelen;Constant uit;Constant aan;Random;A;Cascade-/sequence-regeling tussen verwarmen, neutrale band en koelen
Werktuigbouw - Chef-monteur;38;Welke risico's heb je bij een renovatie met blijvende gebruikers (blijvend gebruik)?;Geluid/stof, brandveiligheid, vluchtwegen, beveiliging, beeldvorming;Geen;Alleen kosten;Alleen tijd;A;Geluid/stof, brandveiligheid, vluchtwegen, beveiliging, beeldvorming
Werktuigbouw - Chef-monteur;39;Welke escalatieroute volg je bij stagnatie?;Niet escaleren;Direct directie;Naar opdrachtgever;Eerst uitvoerder, dan hoofduitvoerder, vervolgens projectmanager;D;Eerst uitvoerder, dan hoofduitvoerder, vervolgens projectmanager
Werktuigbouw - Chef-monteur;40;Hoe coach je een hulpmonteur die fouten maakt?;Veilige feedback, voordoen, korte cyclus, geleidelijk meer verantwoordelijkheid;Wegsturen;Strafrooster;Negeren;A;Veilige feedback, voordoen, korte cyclus, geleidelijk meer verantwoordelijkheid
Werktuigbouw - Chef-monteur;41;Wat is je beleid voor PBM-controle?;Niets;Eens per maand;Visueel iedere ochtend, schoonzijn, juiste maat en NEN-keuring waar vereist;Bij klacht;C;Visueel iedere ochtend, schoonzijn, juiste maat en NEN-keuring waar vereist
Werktuigbouw - Chef-monteur;42;Wat is je rol bij sub-aannemers (bijv. isolatieploeg)?;Alleen einde;Plannen, controleren werkwijze, kwaliteitscheck, raakvlakken;Alleen factuur;Niets;B;Plannen, controleren werkwijze, kwaliteitscheck, raakvlakken
Werktuigbouw - Chef-monteur;43;Welke documentatie geef je af bij eindoplevering?;Alleen factuur;Asbuilt, O&M, certificaten, inregelrapporten, garanties, restpuntenlijst;Niets;Mondeling;B;Asbuilt, O&M, certificaten, inregelrapporten, garanties, restpuntenlijst
Werktuigbouw - Chef-monteur;44;Wat is een commissioning manager (CxM)?;Een softwarepakket;Een kraan;Onafhankelijke rol die hele commissioningsproces coördineert;Een soort meter;C;Onafhankelijke rol die hele commissioningsproces coördineert
Werktuigbouw - Chef-monteur;45;Wat is je strategie voor hete dagen tijdens uitvoering?;Pauze schrappen;Hardere tempo;Niet;Werktijden aanpassen, water, schaduw, signalering hittebelasting;D;Werktijden aanpassen, water, schaduw, signalering hittebelasting
Werktuigbouw - Chef-monteur;46;Welke registratie houd je per gebouw bij?;Logboek met voortgang, afwijkingen, beslissingen, foto's;Alleen totaal;Eind project;Niet;A;Logboek met voortgang, afwijkingen, beslissingen, foto's
Werktuigbouw - Chef-monteur;47;Hoe meet je succes van jouw uitvoering?;Veiligheid, kwaliteit, planning, klanttevredenheid, leerpunten;Alleen kwaliteit;Alleen kosten;Alleen tijd;A;Veiligheid, kwaliteit, planning, klanttevredenheid, leerpunten
Werktuigbouw - Chef-monteur;48;Wat is een 'snagging-walk'?;Een trainingstype;Een wandeling;Inspectieronde net vóór oplevering om resterende punten te benoemen;Een meting;C;Inspectieronde net vóór oplevering om resterende punten te benoemen
Werktuigbouw - Chef-monteur;49;Welke samenwerking met BHV is voor jou belangrijk?;Alleen rookmelder;Vluchtwegen vrij, brandklepposities, brandvergunning, gebruikersinformatie;Pas bij brand;Niet;B;Vluchtwegen vrij, brandklepposities, brandvergunning, gebruikersinformatie
Werktuigbouw - Chef-monteur;50;Wat is jouw rol als chef-monteur bij verbeterprojecten (lessons learned)?;Alleen vergaderen;Vergeten;Leerpunten vastleggen, delen met team en bedrijf, structureel verbeteren;Niets;C;Leerpunten vastleggen, delen met team en bedrijf, structureel verbeteren
